ステージ管理人,Stage Manager
ノノ,Nono
バグド王,King Bagudo
ザンボア,Zanboa
ジャギロ,Jagiro
イマリ,Imari
タミル,Tamiru
ヘルゴラ,Helgora
バン,Ban
ダイナス,Dainas
サリア,Saria
ペーダ,Peda
ギーダン,Gidan
ラガット,Ragatt
ゴード,Gord
ゲイル,Gale
ミュロ,Muro
コロリ,Korori
ミオナ,Miona
シエラ,Sierra
ボルガ,Volga
教官ランババ,Instructor Ranbaba
ラベッサ,Laveza
リゴラス,Rigoras
ニドルフ,Nidolf
デイジャ,Deyja
ゲルゲラ,Gelgera
モウゾウ,Mouzou
賢者マリーン,Sage Malynn
マイユ,Maille
ギロ,Giro
キャン,Kyan
シャラ,Schala
バドワス,Badwas
セダ,Seda
ベガザン,Begazan
デンガル,Dengar
スルリス,Sururisu
ピリリ,Piriri
クーガ,Cougar
コッシャ,Kossha
コクーガ,Lil Cougar
ズンゴス,Zungos
ゾオス,Zoos
カシャ,Kasha
ギュラン,Guran
ガレイグ,Gareig
ゴアンゾ,Goanz
ユラ,Yura
ギダイン,Gidyne
ウーガン,Uugan
レーガ,Reyga
グロスナー王,King Grossner
マグナス,Magnus
スピンドル兵士長,Lead Soldier Spindle
白いヴェールの女,White Veiled Woman
旅芸人ピュージュ,Minstrel Pyuju
ギザック,Gizark
ダイガン,Daigan
リノ,Reno
ゼラリム姫,Princess Zelarim
リッグ,Rigg
ルドン,Rudon
ナズン,Nazun
カルミ,Karumi
ドーイヤ,Doiya
ゴゾン,Gozon
ネシャミ,Neshami
エガロン,Egaron
パデル,Padel
ミオ,Mio
ソエラ,Soella
テド,Ted
ジャロ,Jaro
バンガル,Bangal
ベン,Ben
ファミン,Famin
ヴィド,Vido
コリコ,Koriko
クレガ,Kurega
ゾック,Zock
ギズマン,Gizman
ルグド,Rugudo
イルマ,Ilma
デヤーサ,Deyaasa
領主タケトラ,Lord Taketora
ソンネ,Sonne
エヌカラ,Enkara
カヤヌ,Kayanu
グンザ,Gunza
マエタケ,Maetake
メッシ,Messhi
ユッタ,Yutta
ヤクヤク,Yakuyaku
トノト,Tonoto
ヨキ,Yoki
ヨージャ,Youja
ケムヌ,Kemunu
ピリッポ,Pirippo
プックレイ村長,Chief Pukklei
ヘレット,Herette
ホーリン,Hoorin
ハーパル,Haaparu
ヘペク,Hepek
ハパント,Hapanto
ヘント,Hento
ヒポック,Hipokku
ホポール,Hopooru
ヒペーナ,Hipeena
ホッププ,Hoppupu
ハッパマ,Happama
ヒピュン,Hipyun
ヘペット神父,Father Heppet
ハンポン,Hanpon
ヒムプ,Himupu
レグ,Reg
ダーリア,Dahlia
ルベカ,Rubecca
黒き花婿,Black Groom
リリーエ神官,Priest Lilie
ラーリ,Rahri
シーイー,Shiie
ミーザン,Miizan
ガルーノ,Garoono
バーバサ,Barbasa
スーシャ,Suusha
コタース,Kotaasu
サーニ,Sarny
ウェーラ,Wailer
メーデ,Medde
モーラ,Moura
ニーブル,Nieble
エーファ,Effa
ハルーナ,Haluna
賢者エイドス,Sage Eidos
チグリ大臣,Minister Chigri
ジダン兵士長,Lead Soldier Jidan
エジス,Aegis
シュロン,Shuron
ヨジーロ,Yojiiro
村王クリフゲーン,Chief Cliffgain
ジーガンフ,Jiganf
アロルド,Arold
ジェニャ,Jenya
ジェラル,Jeral
フウミ,Fuumi
ゴンジ,Gonji
ギル,Gil
ツィク,Tzik
フミラ,Fumira
ジウバ,Jiuba
ゼガス,Zegas
ガティ,Kati
レゴリー,Legolii
フウラ,Fuura
ゴンシュ,Gonshu
フシコ,Fushiko
ティルツキン,Tiltzkin
フップ,Fuppu
フーポイ,Fuupoi
フッパイ,Fuppai
フーリポ,Fuuripo
ハーリプ,Haaripu
アーシク,Aashik
キール,Keel
ルナナ,Lunana
レムルの聖杯,Lemur's Chalice
オーレン上半身,Oren's Upper Body
オーレン下半身,Oren's Lower Body
オーレン頭,Oren's Head
オーレン右腕,Oren's Right Arm
エイドスのメモ,Eidos' Memo
エイドスのつえ,Eidos' Cane
魔瘴石のネックレス,Miasma Necklace
ルーラストーン,Zoomstone
ラーの鏡,Mirror of Ra
ケーキ神ぬいぐるみ,Cake God Plushie
いただきボール,Itadaki Ball
グロスナー王の剣,King Grossner's Sword
マリーンの金剛棒,Malynn's Diamond Rod
砕け散る門,Shattered Gate
ラーの鏡くりぬき,Hollow Mirror of Ra
封印の宝珠,Sealing Jewel
ジーガンフの剣,Jiganf's Sword
文様を描いた紙,Patterned Paper
筆,Pen
硯,Ink
番人の葉っぱ,Watchman's Leaf
簾すだれ,Screen Shade
テーブルセット,Tableset
風のころも,Wind Robe
風のころも安置箱,Wind Robe Coffer
ティーカップ,Teacup
ティルツキンの馬車,Tiltzkin's Wagon
アクロバットケーキ,Acrobatic Cake
ネタ帳,Joke Book
山ブドウ,Wild Grapes
黄金の指輪,Golden Ring
やみわらし,Viper Spittle
けがれの大蛇,Toxic Viper
テストメット無し,Helmetless Test
アルウェ,Alwa
ナブレット団長,Captain Nablette
パクレ警部,Inspector Pakul
ラグアス王子,Prince Raguas
フォステイル,Fostail
プーポッパン王,King Puupoppan
イッド,Id
ヒプノス,Hypnos
タナト,Tanat
ソーミャ,Somya
キャット・ジュニア,Cat Junior
ボーレン町長,Mayor Vollen
カク,Kaku
コトル大臣,Minister Kotoru
ニコロイ,Nicolai
リタ姫,Rita-hime
ナシュロイ王,King Nashroi
ニコロイ王,King Nicolai
アグシュナ王妃,Queen Agushna
巫女ヒメア,Maiden Himea
キュウスケ,Kyusuke
アサナギ,Asanagi
師イズヤノイ,Master Izuyanoi
アカシ,Akashi
トマジ,Tomaji
ヨリ,Yori
ジアン,Jian
オバチュン,Obachun
ハツベ,Hatsube
コノタ,Konota
シシノタ,Shishinota
モズ,Mozu
ロクショウ,Rokusho
トキハ,Tokiwa
イシュヤ,Ishuya
師フジツボ,Master Fujisubo
師オゼ,Master Oze
老師ワッタ,Master Watta
